datetime,visibility
2025-10-07T23:00:00Z,6000
2025-10-08T00:00:00Z,6000
2025-10-08T01:00:00Z,4500
2025-10-08T02:00:00Z,6000
2025-10-08T03:00:00Z,4500
2025-10-08T04:00:00Z,4500
2025-10-08T05:00:00Z,4500
2025-10-08T06:00:00Z,4500
2025-10-08T07:00:00Z,4500
2025-10-08T08:00:00Z,4500
2025-10-08T09:00:00Z,4500
2025-10-08T10:00:00Z,4500
2025-10-08T11:00:00Z,3000
2025-10-08T12:00:00Z,3000
2025-10-08T13:00:00Z,5000
2025-10-08T14:00:00Z,6000
2025-10-08T15:00:00Z,5000
2025-10-08T16:00:00Z,5000
2025-10-08T16:34:00Z,3000
2025-10-08T17:00:00Z,2000
2025-10-08T18:00:00Z,5000
2025-10-08T19:00:00Z,5000
2025-10-08T20:00:00Z,4000
2025-10-08T21:00:00Z,4000
2025-10-08T22:00:00Z,6000
2025-10-08T23:00:00Z,3000
2025-10-09T00:00:00Z,6000
2025-10-09T01:00:00Z,3000
2025-10-09T02:00:00Z,2500
2025-10-09T03:00:00Z,7000
2025-10-09T04:00:00Z,7000
2025-10-09T05:00:00Z,7000
2025-10-09T06:00:00Z,7000
2025-10-09T07:00:00Z,7000
2025-10-09T09:00:00Z,8000
2025-10-09T10:00:00Z,7000
2025-10-09T17:00:00Z,8000
2025-10-09T18:00:00Z,4000
2025-10-09T19:00:00Z,9000
2025-10-09T20:00:00Z,5000
2025-10-09T21:00:00Z,9000
2025-10-10T09:00:00Z,6000
2025-10-10T10:00:00Z,6000
2025-10-10T21:00:00Z,9000
2025-10-10T22:36:00Z,3000
2025-10-10T23:00:00Z,3000
2025-10-11T00:00:00Z,6000
2025-10-11T01:00:00Z,6000
2025-10-11T01:26:00Z,2500
2025-10-11T02:00:00Z,3000
2025-10-11T03:00:00Z,2500
2025-10-11T04:00:00Z,3000
2025-10-11T05:00:00Z,6000
2025-10-11T06:00:00Z,7000
2025-10-11T07:00:00Z,7000
2025-10-11T08:00:00Z,8000
2025-10-11T11:00:00Z,9000
2025-10-11T12:00:00Z,9000
2025-10-12T05:00:00Z,5000
2025-10-12T06:00:00Z,5000
2025-10-12T07:00:00Z,5000
2025-10-12T09:00:00Z,1500
2025-10-12T10:00:00Z,3000
2025-10-12T11:00:00Z,3000
2025-10-12T12:00:00Z,4000
2025-10-12T13:00:00Z,4500
2025-10-12T13:35:00Z,5000
2025-10-12T14:00:00Z,5000
2025-10-12T15:00:00Z,7000
2025-10-13T00:00:00Z,9000
2025-10-14T06:00:00Z,8000
2025-10-14T07:00:00Z,6000
2025-10-14T08:00:00Z,8000
2025-10-17T09:00:00Z,3500
2025-10-17T10:00:00Z,3500
2025-10-17T11:00:00Z,3500
2025-10-17T12:00:00Z,4000
2025-10-17T13:00:00Z,5000
2025-10-17T14:00:00Z,5000
2025-10-17T15:00:00Z,8000
